id,name,lat,lon
E32017,Butler T Stop,42.27255,-71.06288
E32018,Truman Parkway at Fairmount Ave,42.25229,-71.11836
E32044,Heath St at Columbus Ave,42.32506,-71.09947
F32001,Main St at Brooks Park,42.41171,-71.11044
F32002,Medford Sq - Riverside Ave at River St,42.41772,-71.1081
F32003,Tufts Sq - Main St at Medford St,42.4017,-71.10613
F32004,Harris Park,42.41082,-71.08153
F32005,Haines Square,42.42333,-71.09125
F32006,Hormel Stadium,42.40722,-71.09652
F32007,West Medford Square (Bower St at Harvard Ave),42.42065,-71.13348
F32008,Logan Park,42.41801,-71.09657
F32009,Hickey Park,42.42498,-71.09897
F32011,Carr Park,42.43436,-71.09476
F32012,Steve Miller Dr at Winthrop St (Medford High),42.42809,-71.12636
F32013,Governors Ave at Lawrence Rd,42.42518,-71.11039
F32014,Winthrop Circle,42.42136,-71.11756
F32015,Mystic Valley Parkway at River Station,42.41509,-71.13918
F32016,Mystic Ave at Crescent St,42.41081,-71.10628
G32001,Malden Center T Station,42.42654,-71.07318
G32002,Northern Strand at Main St,42.42386,-71.06779
G32003,Malden High School,42.42654,-71.06394
G32004,Northern Strand at Bike Kitchen,42.42083,-71.07217
G32005,Kierstead Park,42.42934,-71.05191
G32006,Maplewood Square,42.43359,-71.04628
H32001,Cary Square,42.39814,-71.03071
H320010,615 Broadway,42.39454,-71.03083
H32002,Bellingham Square,42.3932,-71.03345
H32003,Chelsea Square,42.39023,-71.03857
H32005,Chelsea Station,42.39637,-71.03987
H32006,855 Broadway,42.39842,-71.02391
K32001,Coolidge Corner - Beacon St at Centre St,42.3416,-71.12334
K32002,Beacon St at Tappan St,42.33827,-71.13895
K32003,Brookline Village - Station Street at MBTA,42.33274,-71.11627
K32004,JFK Crossing at Harvard St. / Thorndike St.,42.34655,-71.12833
K32005,Brookline Town Hall,42.33376,-71.12046
K32006,Commonwealth Ave At Babcock St,42.35155,-71.12126
K32007,St Mary's,42.3462,-71.10729
K32008,Tappan St at Brookline Hills MBTA,42.33137,-71.12688
K32009,Cypress St at Clark Playground,42.32784,-71.12536
K32010,High St at Cypress St,42.32465,-71.12135
K32011,Washington Sq,42.33986,-71.13421
K32012,Marion St at Harvard St,42.34012,-71.12071
K32015,1200 Beacon St,42.34415,-71.11467
K32017,Harvard St and Stedman St,42.34435,-71.1249
L32001,Railroad Lot and Minuteman Bikeway,42.41606,-71.15337
L320013,Mass Ave at Alewife Greenway,42.40136,-71.13656
L32002,Linwood St at Minuteman Bikeway,42.40935,-71.14907
L32003,Mass Ave at Grafton St,42.40726,-71.14382
L32004,Broadway at Grafton St,42.40994,-71.14009
L32005,Thorndike Field at Minuteman Bikeway,42.40017,-71.14457
L32007,Swan Place at Minuteman Bikeway,42.4147,-71.15238
L32008,Lake St. at Minuteman Bikeway,42.40417,-71.1469
L32009,Mill St. at Minuteman Bikeway,42.4186,-71.15754
L32010,Medford St at Warren St,42.41649,-71.14813
M32002,One Kendall Square at Hampshire St / Portland St,42.36628,-71.09169
M32003,One Broadway / Kendall Sq at Main St / 3rd St,42.36224,-71.08311
M32004,Kendall T,42.36243,-71.08495
M32005,MIT Stata Center at Vassar St / Main St,42.36213,-71.09116
M32006,MIT at Mass Ave / Amherst St,42.35831,-71.09327
M32007,Cambridge St - at Columbia St / Webster Ave,42.37297,-71.09444
M32009,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346,-71.10057
M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031
M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.36643,-71.1055
M32013,Cambridge Main Library at Broadway / Trowbridge St,42.37338,-71.11107
