source_element_key,blockface,side,capacity,area,subarea,category,time_limit_min,lat,lng
39946,NE 70TH ST BETWEEN NE RAVENNA WB BV AND OSWEGO PL NE,S,3,Green Lake,,Paid Parking,120,47.67906817,-122.32417528
17613,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,5,Green Lake,,Paid Parking,120,47.67986787,-122.32509799
17614,NE 71ST ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,4,Green Lake,,Paid Parking,120,47.67975706,-122.32502484
17617,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,5,Green Lake,,Paid Parking,120,47.68003775,-122.32369617
17618,NE 71ST ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,S,11,Green Lake,,Paid Parking,120,47.6799006,-122.32369528
85381,NE 72ND ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,N,6,Green Lake,,Paid Parking,120,47.68045657,-122.32527084
85382,NE 72ND ST BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,S,7,Green Lake,,Paid Parking,120,47.6803507,-122.32522845
85385,NE 72ND ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,N,13,Green Lake,,Paid Parking,120,47.6807603,-122.32377375
85386,NE 72ND ST BETWEEN WOODLAWN AVE NE AND 5TH AVE NE,S,3,Green Lake,,Paid Parking,120,47.68062694,-122.32373964
63125,NE BOAT ST BETWEEN NE BOAT WR ST AND BROOKLYN AVE NE,NE,30,University District,Core,Paid Parking,120,47.6524982,-122.31616438
63126,NE BOAT ST BETWEEN NE BOAT WR ST AND BROOKLYN AVE NE,SW,31,University District,Core,Paid Parking,120,47.65239047,-122.3162868
117879,NE BOAT ST BETWEEN NE PACIFIC ST AND NE BOAT WR ST,E,5,University District,Core,Paid Parking,120,47.65343638,-122.31740828
117932,NE BOAT ST BETWEEN NE PACIFIC ST AND NE BOAT WR ST,W,4,University District,Core,Paid Parking,120,47.653431,-122.31765239
63130,NE CAMPUS EB PY BETWEEN UNIVERSITY WAY NE AND 15TH AVE NE,S,8,University District,Core,Paid Parking,120,47.65592374,-122.31268351
18166,NE MAPLE LEAF PL BETWEEN EAST GREEN LAKE DR N AND WOODLAWN AVE NE,SE,5,Green Lake,,Paid Parking,120,47.68090582,-122.32559295
63230,NE RAVENNA SR BV BETWEEN EAST GREEN LAKE WAY N AND WOODLAWN AVE NE,S,7,Green Lake,,Paid Parking,120,47.67897032,-122.32559922
86057,NE RAVENNA WB BV BETWEEN NE 71ST ST AND WOODLAWN AVE NE,NE,4,Green Lake,,Paid Parking,120,47.67939115,-122.32509186
86353,NW 46TH ST BETWEEN 14TH AVE NW AND 15TH NB AVE NW,N,14,Ballard Blocks,,Paid Parking,120,47.66223925,-122.37484945
86354,NW 46TH ST BETWEEN 14TH AVE NW AND 15TH NB AVE NW,S,11,Ballard Blocks,,Paid Parking,120,47.66216797,-122.3748496
94736,NW 54TH SR ST BETWEEN 32ND AVE NW AND NW 54TH ST,N,12,Ballard Locks,,Paid Parking,240,47.66736671,-122.39902362
94731,NW 54TH SR ST BETWEEN NW 54TH ST AND 32ND AVE NW,N,32,Ballard Locks,,Paid Parking,240,47.66756159,-122.3971591
94732,NW 54TH SR ST BETWEEN NW 54TH ST AND 32ND AVE NW,S,40,Ballard Locks,,Paid Parking,240,47.66738001,-122.39716918
18621,NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,N,11,Ballard,Edge,Paid Parking,240,47.66951344,-122.38342615
18622,NW 56TH ST BETWEEN 20TH AVE NW AND 22ND AVE NW,S,17,Ballard,Edge,Paid Parking,240,47.66937637,-122.38343106
86449,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,N,11,Ballard,Edge,Paid Parking,240,47.66951625,-122.38614452
86450,NW 56TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,S,12,Ballard,Edge,Paid Parking,240,47.66938747,-122.38619958
41029,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,N,8,Ballard,Edge,Paid Parking,240,47.67022081,-122.38616281
41030,NW 57TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,S,18,Ballard,Edge,Paid Parking,240,47.67010838,-122.3861429
86478,NW 58TH ST BETWEEN 22ND AVE NW AND 24TH AVE NW,S,23,Ballard,Edge,Paid Parking,240,47.67087857,-122.38616303
64265,NW BALLARD WAY BETWEEN 14TH AVE NW AND BALLARD BR OFF RP,N,22,Ballard Blocks,,Paid Parking,120,47.66300044,-122.37485483
64266,NW BALLARD WAY BETWEEN 14TH AVE NW AND BALLARD BR OFF RP,S,19,Ballard Blocks,,Paid Parking,120,47.66287433,-122.37485491
19482,NW MARKET ST BETWEEN 15TH AVE NW AND 17TH AVE NW,S,9,Ballard,Edge,Paid Parking,240,47.66858971,-122.37758407
64317,NW MARKET ST BETWEEN 17TH AVE NW AND BARNES AVE NW,N,8,Ballard,Edge,Paid Parking,240,47.66875441,-122.37964963
64318,NW MARKET ST BETWEEN 17TH AVE NW AND BARNES AVE NW,S,9,Ballard,Edge,Paid Parking,240,47.66858978,-122.37955206
87253,NW MARKET ST BETWEEN 20TH AVE NW AND RUSSELL AVE NW,N,3,Ballard,Core,Paid Parking,120,47.66875856,-122.38264895
87254,NW MARKET ST BETWEEN 20TH AVE NW AND RUSSELL AVE NW,S,1,Ballard,Core,Paid Parking,120,47.66859405,-122.38262305
41725,NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,N,11,Ballard,Edge,Paid Parking,240,47.66874739,-122.38890795
41726,NW MARKET ST BETWEEN 24TH AVE NW AND 26TH AVE NW,S,18,Ballard,Edge,Paid Parking,240,47.66859936,-122.38890666
64322,NW MARKET ST BETWEEN BALLARD AVE NW AND 24TH AVE NW,S,6,Ballard,Core,Paid Parking,120,47.66859715,-122.38697004
19486,NW MARKET ST BETWEEN BARNES AVE NW AND TALLMAN AVE NW,S,4,Ballard,Edge,Paid Parking,240,47.66859184,-122.38092736
41721,NW MARKET ST BETWEEN LEARY AVE NW AND BALLARD AVE NW,N,4,Ballard,Core,Paid Parking,120,47.66876144,-122.38557075
