osm_id,name,lat,lon,poi_type,borough_query
airbnb/57166,Elegant NYC Pad,40.772472,-73.906075,airbnb,Airbnb-NYC
airbnb/235951,Stylish Studio with exclusive Terrace,40.75408,-73.97071,airbnb,Airbnb-NYC
airbnb/235960,"LES private 1 bd apt, walk to *everthing*",40.72113,-73.98442,airbnb,Airbnb-NYC
airbnb/236788,"HUGE, modern 2-LEVEL Brooklyn apt",40.70252,-73.98296,airbnb,Airbnb-NYC
airbnb/238683,"Comfortable, Spacious & Affordable Room in NYC",40.86749,-73.82214,airbnb,Airbnb-NYC
airbnb/239733,Astoria Garden Suite,40.77539,-73.91709,airbnb,Airbnb-NYC
airbnb/245544,Nice Bedroom near Manhattan for 2 pers,40.8666,-73.90061,airbnb,Airbnb-NYC
airbnb/397034,New York City for All Seasons!,40.78221,-73.98357,airbnb,Airbnb-NYC
airbnb/400039,Big Beautiful Railroad in Brooklyn,40.70267,-73.92716,airbnb,Airbnb-NYC
airbnb/408491,Charming West Village One Bedroom,40.73633,-73.99925,airbnb,Airbnb-NYC
airbnb/408983,Brownstone full floor 900sft. Dog and Pet Friendly,40.65914535522461,-73.95812225341797,airbnb,Airbnb-NYC
airbnb/409262,Sunlit 2BR Townhouse Floor+Terrace | Prime BoCoCa,40.68561,-73.98919,airbnb,Airbnb-NYC
airbnb/411918,"Apartment in Crown Heights, BKLYN",40.67128,-73.94307,airbnb,Airbnb-NYC
airbnb/413504,Perfect NYC/Williamsburg Location,40.71294,-73.94461,airbnb,Airbnb-NYC
airbnb/415304,Cute east village apartment.,40.73161,-73.98484,airbnb,Airbnb-NYC
airbnb/416557,"DM reWeekly Rate: Lush Garden, Huge Kitchen, Peace",40.72292,-73.94577,airbnb,Airbnb-NYC
airbnb/57297,"Clean & cozy 1BR in Cobble Hill, GREAT location!",40.69003,-73.99338,airbnb,Airbnb-NYC
airbnb/57618,"Great new apt, close to everything",40.76505,-73.98716,airbnb,Airbnb-NYC
airbnb/57874,The Brownstone-Luxury 1 Bd Apt/NYC,40.80747,-73.94076,airbnb,Airbnb-NYC
airbnb/245574,Brooklyn Brownstone home share,40.68927,-73.95439,airbnb,Airbnb-NYC
airbnb/246351,"Sweet Apt, Steps From Gramercy Park",40.73693,-73.98129,airbnb,Airbnb-NYC
airbnb/248865,Loft Suite,40.73756,-73.9535,airbnb,Airbnb-NYC
airbnb/248966,"Bushwick, private bedroom private bathroom lux",40.69913,-73.93107,airbnb,Airbnb-NYC
airbnb/249704,"Sunny, spacious, Brooklyn apt w/ washer/dryer",40.71065,-73.94102,airbnb,Airbnb-NYC
airbnb/249867,HANCOCK VERY SMALL ROOM,40.68532,-73.91881,airbnb,Airbnb-NYC
airbnb/250323,SPACIOUS PRIVATE LITTLE ITALY FLAT,40.71643,-73.99931,airbnb,Airbnb-NYC
airbnb/250536,The Lenox in Harlem,40.81146,-73.94469,airbnb,Airbnb-NYC
airbnb/58059,Traveling Nurses and Medical Professionals,40.8238,-73.94444,airbnb,Airbnb-NYC
airbnb/59014,"Spacious 1BR, Clean, Quiet—Pls write b4 booking",40.71946,-73.98641,airbnb,Airbnb-NYC
