osm_id,name,lat,lon,poi_type,borough_query
node/11687176846,Haven,40.7834563,-73.9795171,restaurant,Manhattan
node/11687210350,Joe's Steam Rice Roll,40.7840301,-73.9779134,restaurant,Manhattan
node/11687215264,Song'e Napule,40.7854066,-73.9769052,restaurant,Manhattan
node/11687215265,Scarlet Lounge,40.7855628,-73.9767913,bar,Manhattan
node/11687369985,Celeste,40.7866864,-73.9759752,restaurant,Manhattan
node/11687385083,Alachi Masala,40.7861403,-73.9763768,restaurant,Manhattan
node/11690216253,King Food Chen,40.7860073,-73.9760003,restaurant,Manhattan
node/11730128243,Sarabeth's,40.7839211,-73.9775152,restaurant,Manhattan
node/11735228974,Manhattan Diner,40.7936415,-73.9721751,restaurant,Manhattan
node/11746576608,One Bite Omakase,40.7835338,-73.9778072,restaurant,Manhattan
node/11873613003,Ghemo,40.8007444,-73.9660245,restaurant,Manhattan
node/11890647090,La Rancherita Bakery and Restaurant,40.7937685,-74.012463,restaurant,Manhattan
node/11890647094,Hannah Fun Chinese Restaurant,40.793957,-74.012707,restaurant,Manhattan
node/11890647095,Sabor y Punto,40.7939174,-74.0127348,restaurant,Manhattan
node/11890647096,Pollos a la Brasa Kikiriki,40.7938646,-74.0127653,restaurant,Manhattan
node/11890647098,Blazin Chicken & Gyro,40.7998407,-74.0078887,restaurant,Manhattan
node/11931321868,Mashed Burgers,40.8264032,-73.9871621,restaurant,Manhattan
node/11935609527,Gamja Tang Tang Restaurant,40.8536147,-73.9749085,restaurant,Manhattan
node/11938467682,BCD Tofu House,40.8499933,-73.9700941,restaurant,Manhattan
node/11938509358,Soup Dumpling Plus,40.8475202,-73.9706087,restaurant,Manhattan
node/12023694618,Flame,40.7839461,-73.9743873,restaurant,Manhattan
