id,name,freeway,direction,type,lanes,city,county,abs_pm,lat,lon
716029,OVERLAND,10,W,OR,1,44000,37,4.305,34.031891,-118.416029
716030,OVERLAND,10,E,OR,1,44000,37,4.345,34.031647,-118.41534
716032,MOTOR,10,W,ML,4,44000,37,4.575,34.030891,-118.411427
716033,MANNING,10,E,OR,1,44000,37,5.065,34.029516,-118.403014
716035,NATIONAL,10,E,OR,1,44000,37,5.835,34.031182,-118.390169
716036,CATTARAUGUS,10,E,ML,5,44000,37,6.205,34.034311,-118.384884
716038,LA CIENEGA,10,W,OR,1,44000,37,6.575,34.036959,-118.379466
716039,LA CIENEGA,10,E,OR,1,44000,37,6.595,34.036847,-118.379114
716040,VENICE,10,E,OR,1,44000,37,6.855,34.036314,-118.374796
716041,FAIRFAX,10,W,OR,1,44000,37,7.055,34.03577,-118.371368
716043,WASHINGTON,10,E,OR,1,44000,37,7.355,34.034495,-118.366371
716044,LA BREA SB,10,E,OR,1,44000,37,8.075,34.033989,-118.353882
716045,LA BREA 2,10,E,OR,1,44000,37,8.375,34.034193,-118.348655
716046,LA BREA NB,10,W,OR,1,44000,37,8.375,34.03448,-118.348667
716047,HARCOURT,10,E,ML,4,44000,37,8.545,34.034363,-118.345701
716050,WEST,10,E,ML,4,44000,37,8.905,34.034677,-118.339444
716051,CRENSHAW 2,10,E,FR,1,44000,37,9.375,34.035067,-118.331254
716054,ARLINGTON 1,10,W,OR,1,44000,37,10.075,34.036614,-118.31917
716055,ARLINGTON 2,10,E,OR,1,44000,37,10.295,34.03681,-118.315379
716057,GRAMERCY,10,E,ML,4,44000,37,10.425,34.036953,-118.313131
716058,WESTERN 1,10,W,OR,1,44000,37,10.545,34.037281,-118.311045
716059,WESTERN 2,10,W,FR,1,44000,37,10.795,34.037253,-118.306713
716060,WESTERN 2,10,E,OR,1,44000,37,10.795,34.036945,-118.306723
716061,NORMANDIE 1,10,W,OR,1,44000,37,11.055,34.037222,-118.302221
716063,BUDLONG,10,W,ML,4,44000,37,11.375,34.037129,-118.296691
716064,VERMONT 1,10,W,OR,1,44000,37,11.505,34.037096,-118.294389
716065,VERMONT 2,10,E,OR,1,44000,37,11.795,34.036796,-118.289266
716066,HOOVER 2,10,E,OR,1,44000,37,12.215,34.037427,-118.282004
716067,STATE,10,E,ML,3,44000,37,17.03,34.054801,-118.211859
716069,SAINT LOUIS,10,E,ML,4,44000,37,17.25,34.053806,-118.208214
716071,SOTO,10,W,OR,1,44000,37,17.4,34.053753,-118.205692
716072,SOTO,10,E,ML,6,44000,37,17.53,34.05411,-118.203478
716074,TREMONT,10,W,FR,1,44000,37,17.81,34.055448,-118.19888
716075,INDIANA,10,E,ML,6,44000,37,18.16,34.055306,-118.192689
716076,INDIANA,10,W,ML,6,44000,37,18.16,34.055573,-118.192729
716078,HERBERT,10,E,ML,6,44000,37,18.55,34.055285,-118.185874
716081,EASTERN,10,E,ML,4,,37,19.29,34.059959,-118.174416
716084,W OF 710,10,W,ML,4,48914,37,19.75,34.061442,-118.167268
716085,E OF 710,10,E,ML,4,48914,37,20.04,34.061918,-118.162504
716086,WINTHROPE,10,W,OR,1,884,37,20.22,34.063934,-118.160163
716087,WARWICK,10,E,ML,5,884,37,20.51,34.065882,-118.155495
716088,WARWICK,10,W,ML,4,884,37,20.53,34.066326,-118.155441
716089,HELLMAN,10,W,OR,1,884,37,20.8,34.068501,-118.151418
716090,FREMONT,10,E,OR,1,884,37,20.9,34.069016,-118.149713
716091,MARENGO,10,W,ML,4,884,37,21.32,34.071793,-118.143409
716092,MARENGO,10,E,ML,4,884,37,21.41,34.071251,-118.141723
716093,ATLANTIC SB,10,E,OR,1,884,37,21.79,34.071335,-118.135155
716094,ATLANTIC SB,10,W,OR,1,884,37,21.79,34.071644,-118.135158
716095,ATLANTIC NB,10,E,OR,1,884,37,21.88,34.071342,-118.133569
716096,ATLANTIC NB,10,W,OR,1,884,37,21.88,34.071662,-118.133572
716097,GARFIELD SB,10,E,OR,1,884,37,22.43,34.071438,-118.123947
716098,GARFIELD SB,10,W,OR,1,884,37,22.45,34.071803,-118.123604
716099,GARFIELD NB,10,E,OR,1,884,37,22.52,34.071457,-118.122386
716100,GARFIELD NB,10,W,OR,1,884,37,22.54,34.071819,-118.12204
716101,ALMANSOR,10,W,ML,4,884,37,22.81,34.071889,-118.117349
716103,NEW SB,10,E,OR,1,884,37,23.27,34.071665,-118.10937
716104,NEW SB,10,W,OR,1,884,37,23.3,34.072021,-118.108838
716105,NEW NB,10,E,OR,1,48914,37,23.37,34.07168,-118.107635
716106,NEW NB,10,W,OR,1,48914,37,23.39,34.072053,-118.107276
716107,DEL MAR SB,10,E,OR,1,48914,37,23.76,34.071731,-118.100852
716108,DEL MAR SB,10,W,OR,1,67042,37,23.77,34.072192,-118.100669
716109,DEL MAR NB,10,E,OR,1,62896,37,23.89,34.071766,-118.098584
716110,DEL MAR NB,10,W,OR,1,62896,37,23.89,34.072118,-118.09858
716111,SAN GABRIEL SB,10,E,OR,1,62896,37,24.27,34.071834,-118.091958
716112,SAN GABRIEL SB,10,W,OR,1,62896,37,24.3,34.072221,-118.091434
716113,SAN GABRIEL NB,10,E,OR,1,62896,37,24.39,34.07186,-118.089866
716114,SAN GABRIEL NB,10,W,OR,1,62896,37,24.4,34.072253,-118.089691
716115,WALNUT GROVE,10,E,OR,1,62896,37,24.81,34.071945,-118.082543
716116,WALNUT GROVE,10,W,OR,1,62896,37,24.792,34.072342,-118.082856
716117,ROSEMEAD SB,10,W,OR,1,62896,37,25.29,34.072457,-118.074173
716118,ROSEMEAD SB,10,E,OR,1,62896,37,25.29,34.072071,-118.074173
716119,ROSEMEAD NB,10,W,OR,1,22230,37,25.41,34.072494,-118.07208
716120,ROSEMEAD NB,10,E,OR,1,22230,37,25.44,34.072083,-118.071554
716121,FLAIR,10,E,OR,1,22230,37,25.598,34.072102,-118.06879
